free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
1,400	0,154	-0,917	-0,064	-47,119	-48,615	-54,687
1,410	0,166	-0,918	-0,059	-49,164	-52,612	-56,335
1,420	0,188	-0,916	-0,057	-50,201	-53,406	-57,007
1,430	0,209	-0,924	-0,063	-50,385	-50,842	-56,335
1,440	0,222	-0,920	-0,072	-49,286	-46,783	-55,023
1,450	0,237	-0,916	-0,083	-48,279	-42,969	-53,772
1,460	0,256	-0,919	-0,093	-48,218	-40,039	-53,162
1,470	0,271	-0,929	-0,102	-48,492	-37,598	-52,826
1,480	0,282	-0,944	-0,114	-48,187	-34,912	-51,697
1,490	0,283	-0,952	-0,133	-47,119	-32,013	-49,133
1,500	0,284	-0,951	-0,157	-45,898	-29,938	-45,166
1,510	0,286	-0,946	-0,182	-45,166	-28,748	-40,527
1,520	0,296	-0,935	-0,206	-44,861	-28,687	-35,736
1,530	0,317	-0,927	-0,220	-44,861	-29,663	-31,433
1,540	0,336	-0,918	-0,223	-45,013	-30,273	-28,473
1,550	0,350	-0,908	-0,220	-44,830	-29,785	-27,435
1,560	0,361	-0,902	-0,219	-43,671	-27,985	-28,168
1,570	0,366	-0,900	-0,220	-41,595	-24,719	-29,724
1,580	0,365	-0,906	-0,225	-38,757	-20,416	-30,884
1,590	0,357	-0,913	-0,235	-35,461	-15,869	-30,884
1,600	0,350	-0,918	-0,250	-32,562	-12,085	-29,602
1,610	0,346	-0,918	-0,265	-30,884	-9,857	-27,740
1,620	0,348	-0,911	-0,278	-30,731	-9,491	-26,062
1,630	0,358	-0,902	-0,292	-32,074	-10,590	-25,055
1,640	0,373	-0,896	-0,307	-34,271	-12,573	-24,872
1,650	0,392	-0,892	-0,317	-36,530	-15,076	-25,421
1,660	0,409	-0,892	-0,323	-38,361	-17,181	-26,550
1,670	0,422	-0,895	-0,328	-39,276	-18,280	-28,046
1,680	0,426	-0,897	-0,331	-38,971	-17,822	-29,694
1,690	0,422	-0,897	-0,335	-37,354	-16,052	-31,128
1,700	0,418	-0,897	-0,342	-34,760	-13,428	-32,135
1,710	0,416	-0,895	-0,350	-32,074	-10,803	-32,623
1,720	0,419	-0,898	-0,359	-30,151	-8,942	-32,410
1,730	0,426	-0,901	-0,367	-29,266	-8,301	-31,342
1,740	0,431	-0,902	-0,371	-29,449	-8,820	-30,060
1,750	0,432	-0,906	-0,373	-30,457	-10,071	-28,809
1,760	0,430	-0,908	-0,371	-31,555	-11,719	-27,466
