potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
1,470	0,250	0,234	-0,478	-27,740	-29,205	-23,529
1,480	0,246	0,215	-0,481	-26,917	-33,203	-26,520
1,490	0,243	0,184	-0,485	-27,283	-35,400	-28,290
1,500	0,233	0,149	-0,488	-28,442	-35,858	-28,839
1,510	0,221	0,117	-0,481	-29,816	-35,583	-28,290
1,520	0,206	0,089	-0,463	-30,243	-35,950	-26,978
1,530	0,184	0,068	-0,447	-28,595	-37,018	-25,391
1,540	0,167	0,061	-0,433	-26,581	-36,591	-24,109
1,550	0,158	0,049	-0,411	-26,154	-33,142	-22,766
1,560	0,146	0,029	-0,358	-26,581	-27,130	-21,454
1,570	0,118	-0,007	-0,280	-26,703	-19,562	-20,416
1,580	0,069	-0,044	-0,172	-25,085	-11,993	-19,989
1,590	-0,003	-0,083	-0,059	-20,569	-5,920	-19,684
1,600	-0,084	-0,108	0,038	-12,817	-3,998	-18,799
1,610	-0,147	-0,132	0,137	-5,707	-7,050	-16,327
1,620	-0,214	-0,195	0,267	-0,305	-15,289	-12,451
1,630	-0,281	-0,297	0,414	6,683	-28,442	-7,751
1,640	-0,350	-0,446	0,601	17,944	-46,600	-3,143
1,650	-0,428	-0,645	0,780	37,445	-66,376	1,953
1,660	0,588	-0,041	-2,734	78,857	-116,150	8,789
1,670	1,250	0,241	-5,050	137,756	-333,130	-25,604
1,680	0,357	-0,232	-4,335	53,528	-256,287	-55,206
1,690	-0,114	0,071	-2,285	5,127	-120,728	-0,671
1,700	-0,476	-0,275	-1,278	-6,226	-70,190	21,362
1,710	-0,447	-0,127	-1,448	13,123	-71,716	32,257
1,720	-0,262	-0,033	-1,919	19,745	-76,080	32,715
1,730	-0,232	-0,013	-1,665	11,230	-55,573	33,722
1,740	-0,075	0,136	-1,113	11,658	-29,877	36,377
1,750	0,222	0,165	-1,132	19,714	-22,919	37,476
1,760	0,339	0,228	-1,204	27,893	-22,461	33,569
1,770	0,291	0,180	-1,069	29,633	-16,998	25,574
1,780	0,251	0,118	-1,031	34,271	-17,670	15,411
1,790	0,213	0,093	-1,093	37,933	-21,484	5,249
1,800	0,135	0,074	-1,086	35,065	-21,362	-2,075
1,810	0,048	0,055	-1,051	29,053	-20,081	-5,585
