potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
8,810	-0,050	0,267	-0,966	-4,028	-1,221	-4,639
8,820	-0,053	0,270	-0,966	-4,456	-1,404	-4,364
8,830	-0,054	0,272	-0,966	-4,913	-1,434	-3,754
8,840	-0,055	0,275	-0,962	-5,035	-1,495	-2,899
8,850	-0,052	0,277	-0,960	-4,730	-1,526	-2,014
8,860	-0,051	0,276	-0,958	-3,967	-1,587	-1,343
8,870	-0,049	0,274	-0,959	-3,082	-1,648	-0,885
8,880	-0,051	0,270	-0,962	-2,411	-1,617	-0,793
8,890	-0,054	0,266	-0,965	-1,923	-1,556	-1,038
8,900	-0,055	0,266	-0,968	-1,373	-1,343	-1,404
8,910	-0,054	0,269	-0,970	-1,068	-0,824	-1,587
8,920	-0,052	0,273	-0,970	-1,099	-0,214	-1,373
8,930	-0,052	0,276	-0,968	-1,343	0,366	-0,824
8,940	-0,054	0,275	-0,964	-1,434	0,824	-0,122
8,950	-0,054	0,273	-0,960	-1,068	0,885	0,549
8,960	-0,052	0,270	-0,960	-0,488	0,641	1,038
8,970	-0,046	0,269	-0,960	-0,214	0,397	1,221
8,980	-0,039	0,267	-0,962	-0,305	0,092	1,068
8,990	-0,033	0,264	-0,962	-0,580	-0,305	0,641
9,000	-0,033	0,261	-0,963	-0,946	-0,854	-0,153
9,010	-0,038	0,257	-0,963	-1,495	-1,709	-1,190
9,020	-0,045	0,257	-0,965	-2,045	-2,533	-2,197
9,030	-0,051	0,261	-0,967	-2,502	-3,113	-2,960
9,040	-0,055	0,267	-0,968	-2,930	-3,204	-3,174
9,050	-0,058	0,274	-0,968	-3,265	-2,899	-2,838
9,060	-0,057	0,279	-0,964	-3,571	-2,441	-2,136
9,070	-0,056	0,280	-0,961	-3,571	-2,014	-1,282
9,080	-0,056	0,280	-0,959	-3,021	-1,617	-0,641
9,090	-0,056	0,279	-0,960	-2,136	-1,404	-0,366
9,100	-0,057	0,277	-0,963	-1,251	-1,282	-0,183
9,110	-0,056	0,274	-0,964	-0,671	-1,129	-0,031
9,120	-0,055	0,271	-0,965	-0,610	-0,702	0,122
9,130	-0,054	0,266	-0,965	-0,793	-0,153	0,153
9,140	-0,055	0,263	-0,966	-1,068	0,000	-0,092
9,150	-0,053	0,264	-0,966	-1,312	-0,183	-0,610
9,160	-0,052	0,266	-0,966	-1,526	-0,336	-1,099
9,170	-0,051	0,271	-0,965	-1,678	-0,244	-1,373
9,180	-0,050	0,276	-0,963	-1,892	0,061	-1,373
9,190	-0,050	0,279	-0,960	-2,045	0,336	-1,099
9,200	-0,051	0,278	-0,957	-1,953	0,183	-0,671
9,210	-0,051	0,275	-0,955	-1,648	-0,153	-0,336
9,220	-0,053	0,270	-0,959	-1,434	-0,732	-0,244
9,230	-0,052	0,268	-0,962	-1,282	-1,190	-0,549
9,240	-0,049	0,268	-0,968	-1,251	-1,312	-1,099
9,250	-0,048	0,271	-0,970	-1,343	-1,038	-1,495
9,260	-0,048	0,273	-0,967	-1,648	-0,702	-1,648
9,270	-0,050	0,274	-0,962	-2,106	-0,763	-1,648
9,280	-0,052	0,273	-0,958	-2,441	-1,343	-1,495
9,290	-0,054	0,272	-0,956	-2,655	-2,075	-1,282
9,300	-0,056	0,271	-0,957	-2,716	-2,625	-1,160
9,310	-0,059	0,271	-0,961	-2,563	-2,960	-1,129
9,320	-0,059	0,272	-0,967	-2,411	-3,052	-1,221
9,330	-0,058	0,272	-0,969	-2,289	-2,686	-1,434
9,340	-0,058	0,273	-0,971	-2,045	-1,801	-1,801
9,350	-0,062	0,274	-0,970	-1,862	-1,007	-2,106
9,360	-0,064	0,274	-0,967	-1,923	-0,671	-2,197
9,370	-0,064	0,275	-0,963	-2,167	-0,488	-2,045
9,380	-0,064	0,275	-0,962	-2,258	-0,214	-1,678
9,390	-0,063	0,276	-0,961	-2,045	-0,122	-1,343
9,400	-0,062	0,277	-0,960	-1,709	0,031	-1,160
9,410	-0,059	0,279	-0,959	-1,404	0,305	-0,916
9,420	-0,057	0,280	-0,960	-1,038	0,397	-0,763
9,430	-0,054	0,280	-0,959	-0,885	0,397	-0,580
9,440	-0,051	0,280	-0,958	-0,885	0,305	-0,366
9,450	-0,051	0,277	-0,958	-0,977	-0,031	-0,183
9,460	-0,055	0,272	-0,959	-1,160	-0,702	-0,153
9,470	-0,058	0,267	-0,960	-1,373	-1,404	-0,366
9,480	-0,061	0,265	-0,963	-1,648	-1,556	-0,793
9,490	-0,062	0,267	-0,966	-1,587	-1,038	-1,221
9,500	-0,062	0,274	-0,967	-1,282	-0,244	-1,587
9,510	-0,062	0,279	-0,964	-1,160	0,641	-1,617
9,520	-0,060	0,283	-0,961	-1,038	1,160	-1,251
9,530	-0,058	0,283	-0,958	-0,885	1,099	-0,671
9,540	-0,058	0,279	-0,958	-0,732	0,580	-0,244
9,550	-0,060	0,273	-0,959	-0,671	-0,153	-0,183
9,560	-0,060	0,269	-0,962	-0,641	-0,519	-0,458
9,570	-0,060	0,270	-0,965	-0,610	-0,214	-0,977
9,580	-0,058	0,275	-0,965	-0,702	0,488	-1,251
9,590	-0,058	0,281	-0,963	-1,007	1,099	-1,038
9,600	-0,058	0,284	-0,959	-1,129	1,312	-0,519
9,610	-0,058	0,283	-0,958	-0,946	1,221	0,122
9,620	-0,056	0,280	-0,957	-0,580	0,854	0,641
9,630	-0,055	0,275	-0,959	-0,397	0,427	0,946
9,640	-0,054	0,270	-0,964	-0,519	0,122	0,916
9,650	-0,053	0,266	-0,966	-0,793	0,000	0,549
9,660	-0,054	0,264	-0,969	-1,007	0,061	-0,092
9,670	-0,056	0,264	-0,968	-1,221	0,183	-0,702
9,680	-0,058	0,267	-0,967	-1,495	0,275	-1,221
9,690	-0,060	0,269	-0,966	-1,862	0,336	-1,434
9,700	-0,059	0,276	-0,963	-2,289	0,214	-1,312
9,710	-0,054	0,276	-0,960	-3,143	0,092	-1,129
9,720	-0,053	0,276	-0,957	-3,540	-0,214	-0,580
9,730	-0,052	0,278	-0,954	-3,326	-0,732	-0,519
9,740	-0,052	0,280	-0,953	-2,899	-0,946	-0,854
9,750	-0,053	0,283	-0,955	-2,319	-1,251	-1,007
9,760	-0,055	0,283	-0,956	-1,984	-1,648	-0,824
9,770	-0,057	0,281	-0,959	-1,892	-1,801	-0,519
9,780	-0,057	0,278	-0,961	-1,740	-1,648	-0,275
9,790	-0,058	0,276	-0,963	-1,617	-1,404	-0,305
9,800	-0,059	0,276	-0,964	-1,709	-1,312	-0,549
9,810	-0,059	0,277	-0,964	-1,984	-1,343	-0,793
9,820	-0,059	0,279	-0,962	-2,228	-1,282	-0,885
9,830	-0,060	0,281	-0,960	-2,228	-1,312	-0,702
9,840	-0,062	0,280	-0,960	-2,045	-1,495	-0,458
9,850	-0,061	0,279	-0,960	-1,862	-1,709	-0,305
9,860	-0,060	0,278	-0,961	-1,770	-1,648	-0,244
9,870	-0,058	0,277	-0,961	-1,678	-1,373	-0,366
9,880	-0,057	0,278	-0,961	-1,526	-1,282	-0,641
9,890	-0,056	0,278	-0,960	-1,495	-1,404	-1,099
9,900	-0,057	0,279	-0,959	-1,617	-1,495	-1,465
9,910	-0,062	0,279	-0,960	-1,801	-1,617	-1,617
9,920	-0,068	0,279	-0,962	-1,923	-1,862	-1,587
9,930	-0,073	0,280	-0,965	-1,892	-2,014	-1,404
9,940	-0,071	0,282	-0,965	-1,801	-1,740	-1,007
9,950	-0,069	0,284	-0,964	-1,678	-0,854	-0,458
9,960	-0,068	0,284	-0,963	-1,434	-0,031	0,031
9,970	-0,066	0,282	-0,961	-1,099	0,305	0,397
9,980	-0,061	0,281	-0,958	-0,946	0,275	0,397
9,990	-0,056	0,279	-0,956	-0,946	0,275	0,153
